COMPOUND_ID,pathogen_model,priority_tier,source_library,product_linkage_type,clean_smiles,similarity_to_training,ensemble_prediction,decision_scenario,reliability_status,MW,LogP,TPSA,SA_score
CMPD_165,EC,1,EC,urea,C[C@@](C[CH]CNC(=O)NC(=N)c1ccccc1)(C(=O)NO)S(C)(=O)=O,0.4385964912280701,0.9360079884529112,A,HIGH,369.4230000000001,0.2142600000000017,148.45000000000002,3.759765558531132
CMPD_135,EC,1,EC,urea,C[C@@](C[CH]CNC(=O)NCc1ccc(-c2ccccc2C#N)cc1)(C(=O)NO)S(C)(=O)=O,0.4307692307692308,0.9300018787384032,A,HIGH,457.5320000000002,1.92757,148.39,3.366414813315295
CMPD_142,EC,1,EC,urea,CCNc1cc(F)ccc1NC(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O,0.3283582089552239,0.9191813468933104,A,HIGH,403.4560000000001,1.28209,136.63,3.538463648141996
CMPD_230,EC,1,CA,amide,NC(O)CC(=O)N(Cc1cc2ccccc2o1)c1ccc2oc(-c3ccccc3)nc2c1,0.4067796610169492,0.8976637363433838,A,HIGH,427.46000000000015,4.4414000000000025,105.73,3.034930818278076
CMPD_216,EC,1,CA,amide,NC(O)CC(=O)N(Cc1ccco1)c1ccc2oc(-c3ccccc3)nc2c1,0.4067796610169492,0.774632728099823,A,HIGH,377.4000000000001,3.2882000000000016,105.73,2.954361897633304
CMPD_279,EC,1,CA,amide,CCCCCCCCCCCCCCN(C(=O)[C@H](Cn1ccnc1)NC(=O)C(N)S)C(C)CC,0.3508771929824561,0.7251193761825562,A,HIGH,495.7780000000001,4.910700000000004,93.25,3.7811248860835978
CMPD_429,EC,1,SA_CA,amide,CCCCCCCCN(C(=O)CCCNC(=O)CS)C1=CCN(C)CC1,0.3461538461538461,0.7059513568878174,A,HIGH,383.60200000000015,3.221100000000002,52.65,2.854756359853546
CMPD_320,EC,1,SA_EC,amide,O=C(NCCc1nnc(S)n1Cc1ccccc1)c1ccc(F)cc1,0.4137931034482758,0.6973549604415894,A,HIGH,356.42600000000004,2.726700000000001,59.81,2.0808646977151035
CMPD_138,EC,1,EC,urea,Cc1noc(N(C(=O)NC[CH]C(=O)NO)S(=O)(=O)c2ccccc2)c1C,0.3582089552238806,0.6812106728553772,A,HIGH,381.3900000000001,0.90603,141.84,3.102415404956619
CMPD_594,EC,1,CA_EC,amide,CNCCOP(=O)(NC(Cc1ccccc1)C(=O)N(CCOPNCCc1ccccc1)C1=CCOc2ccccc21)Oc1ccccc1,0.3939393939393939,0.6449842751026154,A,HIGH,702.7290000000003,6.229900000000006,110.39,4.477686220407687
CMPD_237,EC,1,CA,amide,CCCCCCCCCCCCCCNC(=O)[C@H](Cn1ccnc1)NC(=O)C(N)S,0.4117647058823529,0.5992305040359497,A,HIGH,439.6700000000001,3.3998000000000013,102.04,3.373251878639625
CMPD_413,EC,2,SA_CA,amide,C/C(=N/NC(=O)[C@H](CC(C)C)NC(=O)CS)c1c(O)ccc2c(C)cc(=O)oc12,0.5230769230769231,0.8847964763641357,A,HIGH,419.5030000000002,2.10792,121.0,3.3081591167009403
CMPD_415,EC,2,SA_CA,amide,C/C(=N/NC(=O)[C@@H](NC(=O)CS)C(C)C)c1c(O)ccc2c(C)cc(=O)oc12,0.53125,0.8590913653373718,A,HIGH,405.47600000000017,1.71782,121.0,3.278791846351253
CMPD_628,EC,2,TRIPLE,amide,COc1cc(/C=N/NC(=O)c2sc(N)nc2C)ccc1O,0.5614035087719298,0.805456006526947,A,HIGH,306.34700000000004,1.51182,109.83,2.322192426798217
CMPD_422,EC,2,SA_CA,amide,C/C(=N/NC(=O)CCCNC(=O)CS)c1c(O)ccc2c(C)cc(=O)oc12,0.53125,0.7907830715179444,A,HIGH,391.4490000000002,1.4734199999999995,121.0,2.781746336058397
